institute,open,closed
Biology,0,1
Center for the Study of Language and Society (CSLS),2,10
Institute of Archaeological Sciences,11,5
Institute of Communication and Media Studies (icmb),2,0
Institute of Ecology and Evolution,4,0
Institute of Educational Science,1,0
Institute of French Language and Literature,2,9
Institute of Geography,0,1
Institute of History,1,1
Institute of Marketing ‌and Management,42,68
Institute of Organization and Human Resource Management,10,34
Institute of Plant Sciences,0,1
Institute of Political Science,22,12
Institute of Psychology,48,72
Institute of Sport Science,0,1
Interdisciplinary Postgraduate Research Network (IPN),0,1
Interfaculty Bioinformatics Unit (IBU),1,0
KPM Center for Public Management,0,2
Multidisciplinary Center for Infectious Diseases (MCID),0,1
Research forum,2,10
Universitäre Psychiatrische Dienste (UPD),0,1
Walter Benjamin Kolleg,2,10
Walter Benjamin Kolleg (WBK),2,10
